Application_Date,employer_name,employer_city,Processing_Office,employer_postal_code,total_workers,Decision_Date,soc_code,Visa_Status,wage_rate_of_pay_from,full_time_position,wage_unit_of_pay,prevailing_wage,pw_unit_of_pay,year,CAcase_submitted,Processing_Days,Processing_Months,Visa_Type
2016-09-26,PELCO INC,ANDOVER,Massachusetts,1810,1,2016-10-02,17-2112,CERTIFIED,76066.0,Y,Year,76066.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,CHINA MERCHANTS BANK CO LTD,NEW YORK,New York,10022,1,2016-10-02,13-2051,CERTIFIED,70000.0,Y,Year,65749.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HEWLETT PACKARD ENTERPRISE COMPANY,PLANO,Texas,75024,10,2016-10-02,15-1199,CERTIFIED,152880.0,Y,Year,152880.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,UBER TECHNOLOGIES INC,SAN FRANCISCO,California,94103,1,2016-10-02,3021-11-01 00:00:00,CERTIFIED,153608.0,Y,Year,153608.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HEWLETT PACKARD ENTERPRISE COMPANY,PLANO,Texas,75024,10,2016-10-02,15-1132,CERTIFIED,125913.0,Y,Year,125913.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HEWLETT PACKARD ENTERPRISE COMPANY,PLANO,Texas,75024,10,2016-10-02,15-1133,CERTIFIED,122236.0,Y,Year,122236.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,UBER TECHNOLOGIES INC,SAN FRANCISCO,California,94103,1,2016-10-02,15-1133,CERTIFIED,117000.0,Y,Year,69493.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,UNIVERSIDAD DEL TURABO,GURABO,PR,00778-3030,1,2016-10-02,25-1032,CERTIFIED,65400.0,Y,Year,44380.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,SYNECHRON INC,SUNRISE,Florida,33323,1,2016-10-02,15-1199,CERTIFIED,75000.0,Y,Year,68702.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ACI INFOTECH INC,PISCATAWAY,New Jersey,8854,1,2016-10-02,15-1131,CERTIFIED,76000.0,Y,Year,75795.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,TELEFONICA USA INC,MIAMI,Florida,33131,1,2016-10-02,15-1142,CERTIFIED,122580.0,Y,Year,93746.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,VELOCLOUD NETWORKS INC,MOUNTAIN VIEW,California,94043,1,2016-10-02,15-1133,CERTIFIED,170000.0,Y,Year,142938.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,VELOCLOUD NETWORKS INC,MOUNTAIN VIEW,California,94043,1,2016-10-02,15-1133,CERTIFIED,145000.0,Y,Year,142938.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,UNIVERSITY OF UTAH,SALT LAKE CITY,Utah,84112,1,2016-10-02,15-2041,CERTIFIED,58000.0,Y,Year,52478.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,BRIGHTORDER US INC,WAYNE,Pennsylvania,19087,1,2016-10-02,15-1121,CERTIFIED,170000.0,Y,Year,92872.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,VMWARE INC,PALO ALTO,California,94304,1,2016-10-02,15-1132,CERTIFIED,170000.0,Y,Year,120662.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ASTIR IT SOLUTIONS INC,SOUTH PLAINFIELD,New Jersey,7080,1,2016-10-02,15-1199,CERTIFIED,60000.0,Y,Year,45760.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ADROIT ASSOCIATES INC,ISELIN,New Jersey,8830,1,2016-10-02,15-1121,CERTIFIED,66000.0,Y,Year,65853.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,VMWARE INC,PALO ALTO,California,94304,1,2016-10-02,15-1132,CERTIFIED,160000.0,Y,Year,103486.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,VMWARE INC,PALO ALTO,California,94304,1,2016-10-02,15-1132,CERTIFIED,200000.0,Y,Year,123030.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,JPMORGAN CHASE AND CO,CHICAGO,Illinois,60603,1,2016-10-02,3021-11-01 00:00:00,CERTIFIED,180000.0,Y,Year,176779.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,COMPUTER GLOBAL SOLUTIONS INC,TAMPA,Florida,33607,1,2016-10-02,15-1199,CERTIFIED,85000.0,Y,Year,69493.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSPAN INC,FALLS CHURCH,Virginia,22043,1,2016-10-02,15-1121,CERTIFIED,64480.0,N,Hour,50440.0,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,INDSOFT INC,NAPERVILLE,Illinois,60563,1,2016-10-02,15-1132,CERTIFIED,70886.0,Y,Year,70886.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,UNIVERSITY OF PUERTO RICO,SAN JUAN,PR,936,1,2016-10-02,25-1072,CERTIFIED,73440.0,Y,Year,49770.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INTERNATIONAL SYSTEMS TECHNOLOGIES INC,PISCATAWAY,New Jersey,8854,1,2016-10-02,15-1131,CERTIFIED,73500.0,Y,Year,73091.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,VEDICSOFT SOLUTIONS LLC,ISELIN,New Jersey,8830,1,2016-10-02,15-1121,CERTIFIED,86070.0,Y,Year,73590.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,PARADIGM INFO TECH INC,COLUMBIA,Maryland,21045,1,2016-10-02,15-1199,CERTIFIED,75421.0,Y,Year,74818.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,SYSINTELLI INC,SAN DIEGO,California,92126,1,2016-10-02,15-1132,CERTIFIED,76000.0,Y,Year,75941.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,DEDICATED TECH SERVICES INC,COLUMBUS,Ohio,43215,1,2016-10-02,15-2031,CERTIFIED,67000.0,Y,Year,66914.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,FOREIGN TRADE CORPORATION,SIMI VALLEY,California,93065,1,2016-10-02,15-1132,CERTIFIED,88000.0,Y,Year,75941.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,RANDSTAD TECHNOLOGIES LP,WOBURN,Massachusetts,1801,1,2016-10-02,15-1132,CERTIFIED,115000.0,Y,Year,90646.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ALERTENTERPRISE INC,FREMONT,California,94538,1,2016-10-02,15-1132,CERTIFIED,115000.0,Y,Year,102003.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,RANDSTAD TECHNOLOGIES LP,WOBURN,Massachusetts,1801,1,2016-10-02,15-1132,CERTIFIED,150000.0,Y,Year,90813.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,TECH MAHINDRA (AMERICAS) INC,PLANO,Texas,75093,1,2016-10-02,15-1132,CERTIFIED,100000.0,Y,Year,86195.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,CIBER INC,GREENWOOD VILLAGE,Colorado,80111,2,2016-10-02,15-1199,CERTIFIED,83200.0,Y,Hour,81681.6,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,CIBER INC,GREENWOOD VILLAGE,Colorado,80111,1,2016-10-02,13-1111,CERTIFIED,120000.0,Y,Year,114400.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,BROKSTEIN AND ROSEN CPAS LLP,WALNUT CREEK,California,94597,1,2016-10-02,13-2011,CERTIFIED,54080.0,Y,Hour,53851.2,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JR UNIVERSITY,STANFORD,California,94305,1,2016-10-02,19-2031,CERTIFIED,52270.0,Y,Year,52270.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,CIBER INC,GREENWOOD VILLAGE,Colorado,80111,1,2016-10-02,15-1132,CERTIFIED,85071.9999999999,Y,Hour,85071.9999999999,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,CIBER INC,GREENWOOD VILLAGE,Colorado,80111,1,2016-10-02,15-1132,CERTIFIED,62400.0,Y,Hour,59571.1999999999,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1121,CERTIFIED,78957.0,Y,Year,78957.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1121,CERTIFIED,65062.0,Y,Year,55661.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1121,CERTIFIED,67820.0,Y,Year,55661.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1121,CERTIFIED,65062.0,Y,Year,47154.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,NIAGARA BOTTLING LLC,ONTARIO,California,91761,1,2016-10-02,15-1199,CERTIFIED,110000.0,Y,Year,78166.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1199,CERTIFIED,94723.0,Y,Year,94723.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ACCENTURE LLP,CHICAGO,Illinois,60601,1,2016-10-02,13-1081,CERTIFIED,103604.0,Y,Year,52291.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,GOOGLE INC,MOUNTAIN VIEW,California,94043,1,2016-10-02,15-1132,CERTIFIED,221000.0,Y,Year,143376.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,GENERAL ELECTRIC COMPANY,SAN RAMON,California,94583,1,2016-10-02,15-1133,CERTIFIED,145100.0,Y,Year,122949.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,CIBER INC,GREENWOOD VILLAGE,Colorado,80111,1,2016-10-02,15-1199,CERTIFIED,65000.0,Y,Year,61901.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,QUIGLEY MAP STUDIO,HAILEY,Idaho,83333,1,2016-10-02,27-1024,CERTIFIED,57200.0,N,Hour,42099.1999999999,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JR UNIVERSITY,STANFORD,California,94305,1,2016-10-02,25-1053,CERTIFIED,268346.0,Y,Year,118290.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HOLISTIC LABS INC,CAMPBELL,California,95008,1,2016-10-02,15-1131,CERTIFIED,57500.0,Y,Year,52229.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,XORIANT CORPORATION,SUNNYVALE,California,94089,1,2016-10-02,15-1199,CERTIFIED,70000.0,Y,Year,65042.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,SPARTAN SOLUTIONS,BARTLETT,Tennessee,38134,1,2016-10-02,15-1133,CERTIFIED,102107.0,Y,Year,102107.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,PERFICIENT INC,ST. LOUIS,Missouri,63141,1,2016-10-02,15-1199,CERTIFIED,123600.0,Y,Year,89294.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,NEO PRISM SOLUTIONS LLC,SCHAUMBURG,Illinois,60173,1,2016-10-02,15-1132,CERTIFIED,67000.0,Y,Year,52166.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ADP TECHNOLOGY SERVICES INC,ROSELAND,New Jersey,7068,1,2016-10-02,15-1132,CERTIFIED,100547.0,Y,Year,100547.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ADP TECHNOLOGY SERVICES INC,ROSELAND,New Jersey,7068,1,2016-10-02,15-1132,CERTIFIED,100547.0,Y,Year,100547.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,RAMAN AND OUNDJIAN ENGINEERS AND ARCHITECTS PC,BELLEVILLE,New Jersey,7109,1,2016-10-02,17-2051,CERTIFIED,72000.0,Y,Year,62171.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,F5 NETWORKS INC,SEATTLE,Washington,98119,1,2016-10-02,15-1199,CERTIFIED,124093.0,Y,Year,124093.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,TEXAS TECH UNIVERSITY,LUBBOCK,Texas,79409,1,2016-10-02,17-2053,CERTIFIED,56000.0,Y,Year,39957.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,MICHIGAN STATE UNIVERSITY,EAST LANSING,Michigan,48824,1,2016-10-02,19-1042,CERTIFIED,47500.0,Y,Year,42702.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,AUTO INJURY SOLUTIONS INC,CHICAGO,Illinois,60654,1,2016-10-02,15-1199,CERTIFIED,71781.0,Y,Year,71781.0,Year,2017,2016-09-26,6,0,H1B
2016-10-21,TECHLAND INC,DORAL,Florida,33126,1,2016-10-26,15-1121,CERTIFIED,82000.0,Y,Year,80205.0,Year,2017,2016-10-21,5,0,H1B
2016-09-26,AGREEYA SOLUTIONS INC,FOLSOM,California,95630,1,2016-10-02,15-1133,CERTIFIED,73000.0,Y,Year,72363.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,APTIVA CORP,NORTH BRUNSWICK,New Jersey,8902,1,2016-10-02,15-1132,CERTIFIED,81000.0,Y,Year,80184.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,APTIVA CORP,NORTH BRUNSWICK,New Jersey,8902,1,2016-10-02,15-1131,CERTIFIED,60000.0,Y,Year,52229.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HALLMARK GLOBAL TECHNOLOGIES INC,HAUPPAUGE,New York,11788,1,2016-10-02,15-1131,CERTIFIED,70000.0,Y,Year,56285.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,LABCENTRIX LLC,BOSTON,Massachusetts,2110,1,2016-10-02,15-1132,CERTIFIED,96000.0,Y,Year,88067.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ORACLE AMERICA INC,REDWOOD SHORES,California,94065,5,2016-10-02,15-1121,CERTIFIED,77168.0,Y,Year,77168.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,GOLDEN STATE FC LLC,SEATTLE,Washington,98121,1,2016-10-02,3071-11-01 00:00:00,CERTIFIED,100000.0,Y,Year,71718.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,FAIR ISAAC CORPORATION,SAN RAFAEL,California,94903,1,2016-10-02,15-1133,CERTIFIED,117499.0,Y,Year,107390.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,DELOITTE CONSULTING LLP,PHILADELPHIA,Pennsylvania,19103,15,2016-10-02,15-1121,CERTIFIED,82000.0,Y,Year,63398.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,MASTECH DIGITAL TECHNOLOGIES INC A MASTECH DIGITAL INC COMPANY,MOON TOWNSHIP,Pennsylvania,15108,6,2016-10-02,15-1132,CERTIFIED,123115.0,Y,Year,123115.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,IAS GROUP LTD,WASHINGTON,District of Columbia,20005,1,2016-10-02,2031-11-01 00:00:00,CERTIFIED,90001.5999999999,N,Hour,81473.5999999999,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,MASTECH DIGITAL TECHNOLOGIES INC A MASTECH DIGITAL INC COMPANY,MOON TOWNSHIP,Pennsylvania,15108,6,2016-10-02,15-1132,CERTIFIED,123115.199999999,Y,Hour,123115.199999999,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,BAYSTATE MEDICAL PRACTICES INC,SPRINGFIELD,Massachusetts,1199,1,2016-10-02,29-1063,CERTIFIED,200000.0,Y,Year,153254.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,VYZER SOLUTIONS INC,RICHARDSON,Texas,75082,1,2016-10-02,15-1121,CERTIFIED,63000.0,Y,Year,62754.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,CYBERTHINK INC,BRIDGEWATER,New Jersey,8807,1,2016-10-02,15-1141,CERTIFIED,74000.0,Y,Year,73986.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,VYZER SOLUTIONS INC,RICHARDSON,Texas,75082,1,2016-10-02,15-1131,CERTIFIED,55000.0,Y,Year,46301.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,UST GLOBAL INC,ALISO VIEJO,California,92656,1,2016-10-02,15-1132,CERTIFIED,102000.0,Y,Year,58510.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1121,CERTIFIED,87703.0,Y,Year,77272.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,SOFTWAREART CORP,WAKEFIELD,Massachusetts,1880,1,2016-10-02,15-1121,CERTIFIED,64147.0,Y,Year,64147.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ICON TECHNOLOGIES INC,ALPHARETTA,Georgia,30022,1,2016-10-02,15-1199,CERTIFIED,60000.0,Y,Year,43722.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,SWASEN INC,WEST ORANGE,New Jersey,7052,1,2016-10-02,15-1132,CERTIFIED,90000.0,Y,Year,85197.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,SYSFORE TECHNOLOGIES INC,DULUTH,Georgia,30097,1,2016-10-02,15-1131,CERTIFIED,101000.0,Y,Year,71906.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,KPIT INFOSYSTEMS INCORPORATED,EDISON,New Jersey,8837,1,2016-10-02,15-1132,CERTIFIED,108784.0,Y,Year,90813.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,TMOBILE USA INC,BELLEVUE,Washington,98006,1,2016-10-02,17-2071,CERTIFIED,90000.0,Y,Year,78117.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,FCA US LLC,AUBURN HILLS,Michigan,48326,1,2016-10-02,17-2141,CERTIFIED,99000.0,Y,Year,62650.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,DIGITAL FUEL SV LLC,LOS ANGELES,California,90067,1,2016-10-02,15-1133,CERTIFIED,100000.0,Y,Year,98093.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,GOPA IT CONSULTANTS INC,SAN MATEO,California,94401,1,2016-10-02,15-1121,CERTIFIED,118000.0,Y,Year,115211.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,PROTEGE LLC,ASHBURN,Virginia,20147,1,2016-10-02,15-1199,CERTIFIED,100000.0,Y,Year,90376.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,PROTEGE LLC,ASHBURN,Virginia,20147,1,2016-10-02,15-1199,CERTIFIED,75000.0,Y,Year,62421.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,SAGITEC SOLUTIONS LLC,LITTLE CANADA,Minnesota,55117,1,2016-10-02,15-1132,CERTIFIED,120000.0,Y,Year,108264.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,BUSINESS REPORTING MANAGEMENT SERVICES INC,PARLIN,New Jersey,8859,1,2016-10-02,15-1142,CERTIFIED,70000.0,Y,Year,69555.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,SYSMEX AMERICA INC,LINCOLNSHIRE,Illinois,60069,1,2016-10-02,15-1141,CERTIFIED,110000.0,Y,Year,67704.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1121,CERTIFIED,94619.0,Y,Year,94619.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1121,CERTIFIED,64669.0,Y,Year,49650.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1121,CERTIFIED,83013.0,Y,Year,83013.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1199,CERTIFIED,124093.0,Y,Year,124093.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INFOSYS LIMITED,PLANO,Texas,75024,1,2016-10-02,15-1121,CERTIFIED,65062.0,Y,Year,62754.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,AMAZON CORPORATE LLC,SEATTLE,Washington,98121,1,2016-10-02,15-1132,CERTIFIED,95000.0,Y,Year,72862.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ACCENTURE LLP,CHICAGO,Illinois,60601,1,2016-10-02,13-1081,CERTIFIED,103604.0,Y,Year,52291.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,IPIVOT LLC,DAYTON,New Jersey,8810,1,2016-10-02,15-1131,CERTIFIED,56000.0,Y,Year,55910.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,NBA PROPERTIES INC,SECAUCUS,New Jersey,7094,1,2016-10-02,9021-11-01 00:00:00,CERTIFIED,79500.0,Y,Year,72467.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,AXON SOLUTIONS INC,JERSEY CITY,New Jersey,7302,1,2016-10-02,15-1121,CERTIFIED,174244.0,Y,Year,99736.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INTEL CORPORATION,SANTA CLARA,California,95054,1,2016-10-02,17-2072,CERTIFIED,131955.0,Y,Year,131955.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ACCENTURE LLP,CHICAGO,Illinois,60601,1,2016-10-02,13-1111,CERTIFIED,83200.0,Y,Year,74901.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ACCENTURE LLP,CHICAGO,Illinois,60601,1,2016-10-02,15-1131,CERTIFIED,83034.0,Y,Year,83034.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,NORDSTROM INC,SEATTLE,Washington,98101,1,2016-10-02,15-1132,CERTIFIED,112900.0,Y,Year,93163.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,INABIA SOFTWARE AND CONSULTING,REDMOND,Washington,98052,1,2016-10-02,15-1121,CERTIFIED,72800.0,Y,Hour,67641.5999999999,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,TATA CONSULTANCY SERVICES LIMITED,ROCKVILLE,Maryland,20850,1,2016-10-02,15-1199,CERTIFIED,81175.0,Y,Year,68702.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,FRIENDLY CONSULTANTS INC,PRINCETON JUNCTION,New Jersey,8550,1,2016-10-02,15-1121,CERTIFIED,65500.0,Y,Year,64813.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,SANRA SOLUTIONS INC,GOLD RIVER,California,95670,1,2016-10-02,15-1131,CERTIFIED,81682.0,Y,Year,81682.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,CITIBANK NA,NEW YORK,New York,10005,1,2016-10-02,3031-11-01 00:00:00,CERTIFIED,165000.0,Y,Year,140800.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ARBOR NETWORKS,BURLINGTON,Massachusetts,1803,1,2016-10-02,15-1132,CERTIFIED,92435.0,Y,Year,92435.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,MACY'S SYSTEMS AND TECHNOLOGY INC,JOHNS CREEK,Georgia,30097,1,2016-10-02,15-1132,CERTIFIED,104100.0,Y,Year,104100.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,REHABCARE GROUP EAST INC,LOUISVILLE,Kentucky,40202,1,2016-10-02,29-1122,CERTIFIED,91520.0,Y,Hour,69700.7999999999,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,REHABCARE GROUP EAST INC,LOUISVILLE,Kentucky,40202,1,2016-10-02,29-1122,CERTIFIED,91520.0,Y,Hour,69700.7999999999,Hour,2017,2016-09-26,6,0,H1B
2016-09-26,HCL AMERICA INC,SUNNYVALE,California,94085,1,2016-10-02,15-1131,CERTIFIED,73902.0,Y,Year,73902.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HCL AMERICA INC,SUNNYVALE,California,94085,1,2016-10-02,15-1131,CERTIFIED,62130.0,Y,Year,62130.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HCL AMERICA INC,SUNNYVALE,California,94085,1,2016-10-02,15-1151,CERTIFIED,68702.0,Y,Year,68702.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HCL AMERICA INC,SUNNYVALE,California,94085,1,2016-10-02,15-1121,CERTIFIED,96949.0,Y,Year,96949.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HCL AMERICA INC,SUNNYVALE,California,94085,1,2016-10-02,15-1131,CERTIFIED,77730.0,Y,Year,77730.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HCL AMERICA INC,SUNNYVALE,California,94085,1,2016-10-02,15-1131,CERTIFIED,111093.0,Y,Year,111093.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HCL AMERICA INC,SUNNYVALE,California,94085,1,2016-10-02,15-1121,CERTIFIED,78603.0,Y,Year,78603.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HCL AMERICA INC,SUNNYVALE,California,94085,1,2016-10-02,15-1131,CERTIFIED,93912.0,Y,Year,93912.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,HCL AMERICA INC,SUNNYVALE,California,94085,1,2016-10-02,15-1199,CERTIFIED,105643.0,Y,Year,105643.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ROHR INC D/B/A UTC AEROSPACE SYSTEMS,CHULA VISTA,California,91910,1,2016-10-02,17-2141,CERTIFIED,103958.0,Y,Year,103958.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,IMMEREX INC,SANTA CLARA,California,95054,1,2016-10-02,17-2072,CERTIFIED,108805.0,Y,Year,108805.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,MORGAN STANLEY AND CO LLC,NEW YORK,New York,10036,1,2016-10-02,13-2011,CERTIFIED,63000.0,Y,Year,61859.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,BBANDT CORPORATION,WILSON,North Carolina,27893,1,2016-10-02,15-1199,CERTIFIED,117000.0,Y,Year,87755.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,MACYSCOM LLC,SAN FRANCISCO,California,94107,1,2016-10-02,15-1132,CERTIFIED,114587.0,Y,Year,114587.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,SPACE METRICS INC,WASHINGTON,District of Columbia,20024,1,2016-10-02,27-3031,CERTIFIED,45510.0,Y,Year,45510.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,THE UNIVERSITY OF GEORGIA,ATHENS,Georgia,30602,1,2016-10-02,25-1071,CERTIFIED,80000.0,Y,Year,49720.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,THE CHILDREN'S HOSPITAL OF PHILADELPHIA,PHILADELPHIA,Pennsylvania,19104,1,2016-10-02,19-1042,CERTIFIED,57923.0,Y,Year,54330.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,ABHRA INC PREVIOUSLY KNOWN AS ITALENT INC,MANCHESTER,Missouri,63021,1,2016-10-02,15-1121,CERTIFIED,69826.0,Y,Year,69826.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,BORDERFREE INC,NEW YORK,New York,10017,1,2016-10-02,15-1133,CERTIFIED,136906.0,Y,Year,136906.0,Year,2017,2016-09-26,6,0,H1B
2016-09-26,WALMART ASSOCIATES INC,BENTONVILLE,Arkansas,72716,1,2016-10-02,13-2051,CERTIFIED,115000.0,Y,Year,105144.0,Year,2017,2016-09-26,6,0,H1B
